"observation_id","person_id","partner_group","site_id","site_name","lat","lon","state","species_id","common_name","func_type","individual_id","phenophase_id","day_of_year","phenophase_status","intensity_category_id","intensity_value","obsdate","yr","php"
35543094,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35571238,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,390,349,0,58,NA,2023-12-15,2023,"ripe fruit"
35667178,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,390,365,0,58,NA,2023-12-31,2023,"ripe fruit"
35477521,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,500,335,0,48,NA,2023-12-01,2023,"flower"
35543090,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,500,344,1,48,"More than 10,000",2023-12-10,2023,"flower"
35571234,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,500,349,1,48,"More than 10,000",2023-12-15,2023,"flower"
35667174,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,500,365,1,48,"1,001 to 10,000",2023-12-31,2023,"flower"
35477522,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,501,335,0,50,NA,2023-12-01,2023,"open flower"
35543091,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,501,344,0,50,NA,2023-12-10,2023,"open flower"
35571235,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,501,349,0,50,NA,2023-12-15,2023,"open flower"
35667175,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,501,365,0,50,NA,2023-12-31,2023,"open flower"
35477524,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,516,335,0,56,NA,2023-12-01,2023,"fruit"
35543093,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,516,344,0,56,NA,2023-12-10,2023,"fruit"
35571237,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,516,349,0,56,NA,2023-12-15,2023,"fruit"
35667177,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120414,516,365,0,56,NA,2023-12-31,2023,"fruit"
35477536,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,390,335,0,58,NA,2023-12-01,2023,"ripe fruit"
35543105,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35571249,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,390,349,0,58,NA,2023-12-15,2023,"ripe fruit"
35667192,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,390,365,0,58,NA,2023-12-31,2023,"ripe fruit"
35477532,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,500,335,0,48,NA,2023-12-01,2023,"flower"
35543101,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,500,344,1,48,"1,001 to 10,000",2023-12-10,2023,"flower"
35571245,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,500,349,1,48,"1,001 to 10,000",2023-12-15,2023,"flower"
35667188,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,500,365,1,48,"1,001 to 10,000",2023-12-31,2023,"flower"
35477533,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,501,335,0,50,NA,2023-12-01,2023,"open flower"
35543102,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,501,344,0,50,NA,2023-12-10,2023,"open flower"
35571246,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,501,349,0,50,NA,2023-12-15,2023,"open flower"
35667189,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,501,365,0,50,NA,2023-12-31,2023,"open flower"
35477535,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,516,335,0,56,NA,2023-12-01,2023,"fruit"
35543104,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,516,344,0,56,NA,2023-12-10,2023,"fruit"
35571248,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,516,349,0,56,NA,2023-12-15,2023,"fruit"
35667191,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120415,516,365,0,56,NA,2023-12-31,2023,"fruit"
35477547,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,390,335,0,58,NA,2023-12-01,2023,"ripe fruit"
35543116,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35571260,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,390,349,0,58,NA,2023-12-15,2023,"ripe fruit"
35667203,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,390,365,0,58,NA,2023-12-31,2023,"ripe fruit"
35477543,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,500,335,0,48,NA,2023-12-01,2023,"flower"
35543112,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,500,344,0,48,NA,2023-12-10,2023,"flower"
35571256,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,500,349,1,48,"101 to 1,000",2023-12-15,2023,"flower"
35667199,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,500,365,1,48,"101 to 1,000",2023-12-31,2023,"flower"
35477544,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,501,335,0,50,NA,2023-12-01,2023,"open flower"
35543113,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,501,344,0,50,NA,2023-12-10,2023,"open flower"
35571257,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,501,349,0,50,NA,2023-12-15,2023,"open flower"
35667200,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,501,365,0,50,NA,2023-12-31,2023,"open flower"
35477546,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,516,335,0,56,NA,2023-12-01,2023,"fruit"
35543115,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,516,344,0,56,NA,2023-12-10,2023,"fruit"
35571259,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,516,349,0,56,NA,2023-12-15,2023,"fruit"
35667202,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",120416,516,365,0,56,NA,2023-12-31,2023,"fruit"
34907379,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,281,0,58,NA,2023-10-08,2023,"ripe fruit"
34906335,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,281,0,58,NA,2023-10-08,2023,"ripe fruit"
35452003,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,333,0,58,NA,2023-11-29,2023,"ripe fruit"
35512905,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,340,0,58,NA,2023-12-06,2023,"ripe fruit"
35556427,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35660623,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,354,0,58,NA,2023-12-20,2023,"ripe fruit"
35661165,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,390,364,0,58,NA,2023-12-30,2023,"ripe fruit"
34907375,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,281,0,48,NA,2023-10-08,2023,"flower"
34906331,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,281,0,48,NA,2023-10-08,2023,"flower"
35451999,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,333,0,48,NA,2023-11-29,2023,"flower"
35512901,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,340,0,48,NA,2023-12-06,2023,"flower"
35556423,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,344,1,48,"101 to 1,000",2023-12-10,2023,"flower"
35660619,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,354,1,48,"101 to 1,000",2023-12-20,2023,"flower"
35661161,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,500,364,0,48,NA,2023-12-30,2023,"flower"
34907376,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,281,0,50,NA,2023-10-08,2023,"open flower"
34906332,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,281,0,50,NA,2023-10-08,2023,"open flower"
35452000,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,333,0,50,NA,2023-11-29,2023,"open flower"
35512902,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,340,0,50,NA,2023-12-06,2023,"open flower"
35556424,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,344,0,50,NA,2023-12-10,2023,"open flower"
35660620,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,354,0,50,NA,2023-12-20,2023,"open flower"
35661162,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,501,364,0,50,NA,2023-12-30,2023,"open flower"
34907378,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,281,0,56,NA,2023-10-08,2023,"fruit"
34906334,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,281,0,56,NA,2023-10-08,2023,"fruit"
35452002,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,333,0,56,NA,2023-11-29,2023,"fruit"
35512904,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,340,0,56,NA,2023-12-06,2023,"fruit"
35556426,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,344,0,56,NA,2023-12-10,2023,"fruit"
35660622,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,354,0,56,NA,2023-12-20,2023,"fruit"
35661164,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127543,516,364,0,56,NA,2023-12-30,2023,"fruit"
34907416,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,281,0,58,NA,2023-10-08,2023,"ripe fruit"
34906450,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,281,0,58,NA,2023-10-08,2023,"ripe fruit"
35452092,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,333,0,58,NA,2023-11-29,2023,"ripe fruit"
35512955,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,340,0,58,NA,2023-12-06,2023,"ripe fruit"
35556498,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35660661,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,354,0,58,NA,2023-12-20,2023,"ripe fruit"
35661203,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,390,364,0,58,NA,2023-12-30,2023,"ripe fruit"
34907412,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,281,0,48,NA,2023-10-08,2023,"flower"
34906446,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,281,0,48,NA,2023-10-08,2023,"flower"
35452088,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,333,0,48,NA,2023-11-29,2023,"flower"
35512951,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,340,0,48,NA,2023-12-06,2023,"flower"
35556494,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,344,0,48,NA,2023-12-10,2023,"flower"
35660657,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,354,0,48,NA,2023-12-20,2023,"flower"
35661199,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,500,364,0,48,NA,2023-12-30,2023,"flower"
34907413,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,281,0,50,NA,2023-10-08,2023,"open flower"
34906447,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,281,0,50,NA,2023-10-08,2023,"open flower"
35452089,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,333,0,50,NA,2023-11-29,2023,"open flower"
35512952,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,340,0,50,NA,2023-12-06,2023,"open flower"
35556495,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,344,0,50,NA,2023-12-10,2023,"open flower"
35660658,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,354,0,50,NA,2023-12-20,2023,"open flower"
35661200,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,501,364,0,50,NA,2023-12-30,2023,"open flower"
34907415,54702,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,281,0,56,NA,2023-10-08,2023,"fruit"
34906449,54604,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,281,0,56,NA,2023-10-08,2023,"fruit"
35452091,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,333,0,56,NA,2023-11-29,2023,"fruit"
35512954,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,340,0,56,NA,2023-12-06,2023,"fruit"
35556497,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,344,0,56,NA,2023-12-10,2023,"fruit"
35660660,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,354,0,56,NA,2023-12-20,2023,"fruit"
35661202,44943,"Bayou Sauvage NWR",25901,"Boardwalk",30.05377,-89.880486,"LA",3,"red maple","Deciduous broadleaf",127544,516,364,0,56,NA,2023-12-30,2023,"fruit"
35227317,67280,"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,"LA",3,"red maple","Deciduous broadleaf",141923,390,308,0,58,NA,2023-11-04,2023,"ripe fruit"
35227313,67280,"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,"LA",3,"red maple","Deciduous broadleaf",141923,500,308,0,48,NA,2023-11-04,2023,"flower"
35227314,67280,"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,"LA",3,"red maple","Deciduous broadleaf",141923,501,308,0,50,NA,2023-11-04,2023,"open flower"
35227316,67280,"Barataria Phenology Trail",27477,"Bayou Coquille Trail",29.793816,-90.122452,"LA",3,"red maple","Deciduous broadleaf",141923,516,308,0,56,NA,2023-11-04,2023,"fruit"
35477558,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,390,335,0,58,NA,2023-12-01,2023,"ripe fruit"
35543127,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,390,344,0,58,NA,2023-12-10,2023,"ripe fruit"
35571271,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,390,349,0,58,NA,2023-12-15,2023,"ripe fruit"
35667214,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,390,365,0,58,NA,2023-12-31,2023,"ripe fruit"
35477554,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,500,335,0,48,NA,2023-12-01,2023,"flower"
35543123,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,500,344,1,48,"1,001 to 10,000",2023-12-10,2023,"flower"
35571267,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,500,349,1,48,"1,001 to 10,000",2023-12-15,2023,"flower"
35667205,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,500,365,1,48,"1,001 to 10,000",2023-12-31,2023,"flower"
35477555,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,501,335,0,50,NA,2023-12-01,2023,"open flower"
35543124,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,501,344,0,50,NA,2023-12-10,2023,"open flower"
35571268,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,501,349,0,50,NA,2023-12-15,2023,"open flower"
35667211,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,501,365,0,50,NA,2023-12-31,2023,"open flower"
35477557,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,516,335,0,56,NA,2023-12-01,2023,"fruit"
35543126,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,516,344,0,56,NA,2023-12-10,2023,"fruit"
35571270,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,516,349,0,56,NA,2023-12-15,2023,"fruit"
35667213,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147749,516,365,0,56,NA,2023-12-31,2023,"fruit"
35477569,44943,"Big Branch Marsh NWR",25151,"Main Parking Lot",30.321651,-89.936882,"LA",3,"red maple","Deciduous broadleaf",147750,390,335,0,58,NA,2023-12-01,2023,"ripe fruit"
